fips,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,state,state_name,county_name
1001,0,0,0,0,0,0,0,0,AL,Alabama,Autauga
1003,3,2,0,2,1,7,3,3,AL,Alabama,Baldwin
1005,0,0,1,0,0,0,0,0,AL,Alabama,Barbour
1007,0,1,0,0,2,1,0,0,AL,Alabama,Bibb
1009,1,0,1,0,1,0,1,2,AL,Alabama,Blount
1011,0,0,0,0,0,0,0,0,AL,Alabama,Bullock
1013,0,0,0,0,0,0,0,0,AL,Alabama,Butler
1015,3,0,2,5,0,2,3,4,AL,Alabama,Calhoun
1017,0,0,0,0,0,0,2,1,AL,Alabama,Chambers
1019,0,0,0,1,2,0,0,0,AL,Alabama,Cherokee
1021,0,1,1,2,0,0,1,1,AL,Alabama,Chilton
1023,0,0,0,0,0,0,0,0,AL,Alabama,Choctaw
1025,0,0,0,0,0,0,4,0,AL,Alabama,Clarke
1027,1,0,0,0,0,0,0,0,AL,Alabama,Clay
1029,0,2,0,1,1,1,0,1,AL,Alabama,Cleburne
1031,0,0,0,0,0,0,1,0,AL,Alabama,Coffee
1033,1,1,1,0,0,0,3,1,AL,Alabama,Colbert
1035,0,1,0,0,0,0,0,0,AL,Alabama,Conecuh
1037,0,0,0,0,0,0,0,0,AL,Alabama,Coosa
1039,0,2,0,0,0,0,0,1,AL,Alabama,Covington
1041,0,0,1,1,1,0,0,0,AL,Alabama,Crenshaw
1043,1,2,1,0,1,1,0,2,AL,Alabama,Cullman
1045,2,0,0,1,1,1,2,2,AL,Alabama,Dale
1047,1,1,2,2,2,0,0,0,AL,Alabama,Dallas
1049,0,1,0,0,1,2,0,0,AL,Alabama,DeKalb
1051,1,1,0,1,0,5,0,4,AL,Alabama,Elmore
1053,0,0,0,0,0,0,1,1,AL,Alabama,Escambia
1055,0,0,3,0,2,1,0,0,AL,Alabama,Etowah
1057,0,0,1,0,0,0,0,0,AL,Alabama,Fayette
1059,1,0,0,0,0,0,0,0,AL,Alabama,Franklin
1061,1,0,0,0,0,0,1,0,AL,Alabama,Geneva
1063,0,0,0,0,0,0,0,0,AL,Alabama,Greene
1065,0,0,0,0,0,1,0,0,AL,Alabama,Hale
1067,0,0,0,1,0,0,0,0,AL,Alabama,Henry
1069,3,0,1,0,0,2,1,3,AL,Alabama,Houston
1071,1,0,0,1,0,2,0,1,AL,Alabama,Jackson
1073,9,9,9,11,7,18,17,18,AL,Alabama,Jefferson
1075,0,0,0,0,0,0,0,0,AL,Alabama,Lamar
1077,1,0,4,1,1,1,3,0,AL,Alabama,Lauderdale
1079,0,1,0,0,1,0,1,0,AL,Alabama,Lawrence
1081,1,2,4,0,1,1,1,6,AL,Alabama,Lee
1083,0,4,1,0,2,0,2,0,AL,Alabama,Limestone
1085,0,0,0,0,1,0,0,0,AL,Alabama,Lowndes
1087,1,0,1,1,0,0,0,0,AL,Alabama,Macon
1089,5,7,4,5,2,7,4,2,AL,Alabama,Madison
1091,0,0,0,0,1,0,0,0,AL,Alabama,Marengo
1093,0,0,1,2,1,0,2,0,AL,Alabama,Marion
1095,0,1,0,2,0,1,4,0,AL,Alabama,Marshall
1097,3,5,4,5,10,8,9,2,AL,Alabama,Mobile
1099,0,0,0,0,0,0,0,1,AL,Alabama,Monroe
1101,2,0,2,1,3,1,5,3,AL,Alabama,Montgomery
1103,1,2,0,0,0,0,0,2,AL,Alabama,Morgan
1105,0,0,0,0,0,0,0,0,AL,Alabama,Perry
1107,1,0,0,0,0,2,0,0,AL,Alabama,Pickens
1109,0,0,0,0,0,1,0,0,AL,Alabama,Pike
1111,0,0,1,1,0,0,0,0,AL,Alabama,Randolph
1113,2,1,0,2,0,1,0,1,AL,Alabama,Russell
1115,0,0,1,2,0,0,1,5,AL,Alabama,St. Clair
1117,0,1,1,1,1,1,1,1,AL,Alabama,Shelby
1119,0,0,0,0,0,0,0,0,AL,Alabama,Sumter
1121,1,1,1,1,3,1,0,4,AL,Alabama,Talladega
1123,1,1,0,0,0,0,0,1,AL,Alabama,Tallapoosa
1125,1,2,2,1,1,2,1,4,AL,Alabama,Tuscaloosa
1127,0,1,0,0,0,0,1,5,AL,Alabama,Walker
1129,0,0,0,1,0,0,0,0,AL,Alabama,Washington
1131,1,0,0,0,0,0,0,1,AL,Alabama,Wilcox
1133,0,0,0,0,0,0,0,1,AL,Alabama,Winston
2013,0,0,0,0,0,0,0,0,AK,Alaska,Aleutians East Borough
2016,0,0,0,0,0,0,0,0,AK,Alaska,Aleutians West Census Area
2020,2,1,5,5,2,4,7,1,AK,Alaska,Anchorage Municipality
2050,1,0,0,0,0,0,1,0,AK,Alaska,Bethel Census Area
2060,0,0,0,0,0,0,0,0,AK,Alaska,Bristol Bay Borough
2068,0,0,0,0,0,0,0,0,AK,Alaska,Denali Borough
2070,0,0,1,0,0,1,0,1,AK,Alaska,Dillingham Census Area
2090,0,3,1,3,1,3,0,5,AK,Alaska,Fairbanks North Star Borough
2100,0,0,1,0,0,0,0,0,AK,Alaska,Haines Borough
2105,0,0,0,0,0,0,0,0,AK,Alaska,Hoonah-Angoon Census Area
2110,0,0,1,0,0,2,0,0,AK,Alaska,Juneau City and Borough
2122,1,1,1,2,1,0,4,1,AK,Alaska,Kenai Peninsula Borough
2130,0,0,0,0,0,0,0,0,AK,Alaska,Ketchikan Gateway Borough
2150,0,0,0,0,0,0,1,0,AK,Alaska,Kodiak Island Borough
2158,0,0,0,0,2,0,0,0,AK,Alaska,Kusilvak Census Area
2164,0,0,0,0,0,0,0,0,AK,Alaska,Lake and Peninsula Borough
2170,3,0,3,2,2,0,5,3,AK,Alaska,Matanuska-Susitna Borough
2180,0,0,0,0,0,0,0,0,AK,Alaska,Nome Census Area
2185,0,0,1,0,0,0,0,0,AK,Alaska,North Slope Borough
2188,0,1,0,0,0,0,0,2,AK,Alaska,Northwest Arctic Borough
