STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	1	4	1	1	1	57135	54499	3	3	100	153	1722	3	28	33	89	309	1277	136	15
9999	1	4	2	1	3	207584	207584	14	14	99.5843	443	4057	2	42	70	329	717	3139	201	16
9999	1	4	3	1	5	26259	25778	5	4	93.9483	114	664	3	9	19	83	179	442	43	7
9999	1	4	4	1	7	22535	22474	4	5	96.0087	16	206	0	4	3	9	68	126	13	2
9999	1	4	5	1	9	57565	57565	6	6	98.1104	433	1228	1	20	10	402	323	763	142	10
9999	1	4	6	1	11	10634	10634	2	2	94.7307	34	163	1	1	8	24	58	88	17	29
9999	1	4	7	1	13	19960	19952	4	4	97.484	120	572	5	6	16	92	114	434	24	5
9999	1	4	8	1	15	118768	114022	9	10	100	1023	3743	8	59	123	833	1263	2298	182	21
9999	1	4	9	1	17	34047	34047	4	4	97.8052	192	1184	1	24	35	131	274	793	117	7
9999	1	4	10	1	19	25753	25774	4	5	99.4119	95	626	4	14	7	70	190	360	75	16
9999	1	4	11	1	21	43791	43894	5	6	99.5907	303	1172	0	17	6	279	345	737	90	8
9999	1	4	12	1	23	13009	13009	3	3	84.3147	16	65	0	0	0	16	24	28	13	0
9999	1	4	13	1	25	24405	24405	4	4	98.9886	116	475	3	11	7	95	120	330	26	5
9999	1	4	14	1	27	13459	13459	3	3	100	41	114	0	2	0	39	24	84	6	0
9999	1	4	15	1	29	14991	14991	3	3	100	15	176	0	1	1	13	46	119	11	1
9999	1	4	16	1	31	51784	51299	5	5	99.9123	135	1076	1	20	10	104	299	710	67	10
9999	1	4	17	1	33	54192	54192	8	8	83.7677	188	1372	1	19	22	146	305	945	122	8
9999	1	4	18	1	35	12530	12538	3	4	93.5569	37	185	0	5	6	25	44	124	17	4
9999	1	4	19	1	37	10504	10504	2	2	100	29	194	0	1	1	27	60	112	22	2
9999	1	4	20	1	39	37753	37753	9	8	96.6638	156	828	2	20	10	124	167	609	51	3
9999	1	4	21	1	41	13952	13619	4	3	80.2188	24	177	1	0	2	20	61	106	11	0
9999	1	4	22	1	43	82093	82120	4	5	100	92	1598	2	30	9	51	351	1114	133	0
9999	1	4	23	1	45	47570	47974	10	10	98.6529	268	1241	1	31	11	225	238	929	74	15
9999	1	4	24	1	47	40520	40520	3	2	100	424	1920	9	29	83	303	572	1217	131	53
9999	1	4	25	1	49	70979	68618	14	12	98.1662	227	1508	3	24	12	188	388	956	165	9
9999	1	4	26	1	51	81563	81680	7	7	100	203	1789	8	36	29	130	388	1289	112	11
9999	1	4	27	1	53	37596	37596	5	5	100	177	767	3	11	24	139	157	560	50	10
9999	1	4	28	1	55	101666	100963	11	10	100	722	3651	6	62	77	577	700	2584	367	17
9999	1	4	29	1	57	15883	16626	3	4	51.9989	21	212	0	5	2	13	49	128	35	3
9999	1	4	30	1	59	31613	31328	5	4	96.0004	95	716	1	13	8	74	157	494	65	8
9999	1	4	31	1	61	26703	26710	5	6	99.9978	115	554	1	16	5	93	143	360	51	31
